section_number,section_title,cdi_code,word
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,baa baa
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,choo choo
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,cockadoodledoo
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,grrr
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,meow
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,moo
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,ouch
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,quack quack
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,uh oh
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,vroom
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,woof woof
1,SOUND EFFECTS AND ANIMAL SOUNDS,1,yum yum
2,ANIMALS (Real or Toy),2,alligator
2,ANIMALS (Real or Toy),2,animal
2,ANIMALS (Real or Toy),2,ant
2,ANIMALS (Real or Toy),2,bear
2,ANIMALS (Real or Toy),2,bee
2,ANIMALS (Real or Toy),2,bird
2,ANIMALS (Real or Toy),2,bug
2,ANIMALS (Real or Toy),2,bunny
2,ANIMALS (Real or Toy),2,butterfly
2,ANIMALS (Real or Toy),2,cat
2,ANIMALS (Real or Toy),2,chicken
2,ANIMALS (Real or Toy),2,cow
2,ANIMALS (Real or Toy),2,deer
2,ANIMALS (Real or Toy),2,dog
2,ANIMALS (Real or Toy),2,donkey
2,ANIMALS (Real or Toy),2,duck
2,ANIMALS (Real or Toy),2,elephant
2,ANIMALS (Real or Toy),2,fish
2,ANIMALS (Real or Toy),2,frog
2,ANIMALS (Real or Toy),2,giraffe
2,ANIMALS (Real or Toy),2,goose
2,ANIMALS (Real or Toy),2,hen
2,ANIMALS (Real or Toy),2,horse
2,ANIMALS (Real or Toy),2,kitty
2,ANIMALS (Real or Toy),2,lamb
2,ANIMALS (Real or Toy),2,lion
2,ANIMALS (Real or Toy),2,monkey
2,ANIMALS (Real or Toy),2,moose
2,ANIMALS (Real or Toy),2,mouse
2,ANIMALS (Real or Toy),2,owl
2,ANIMALS (Real or Toy),2,penguin
2,ANIMALS (Real or Toy),2,pig
2,ANIMALS (Real or Toy),2,pony
2,ANIMALS (Real or Toy),2,puppy
2,ANIMALS (Real or Toy),2,rooster
2,ANIMALS (Real or Toy),2,sheep
2,ANIMALS (Real or Toy),2,squirrel
2,ANIMALS (Real or Toy),2,teddybear
