subject_id,age,sex,study_name,word,word_column,section_number,section_title,cdi_code
1,24,Male,UnaccFit,baa baa,baa_baa,1,SOUND EFFECTS AND ANIMAL SOUNDS,1
1,24,Male,UnaccFit,grrr,grrr,1,SOUND EFFECTS AND ANIMAL SOUNDS,1
1,24,Male,UnaccFit,meow,meow,1,SOUND EFFECTS AND ANIMAL SOUNDS,1
1,24,Male,UnaccFit,moo,moo,1,SOUND EFFECTS AND ANIMAL SOUNDS,1
1,24,Male,UnaccFit,uh oh,uh_oh,1,SOUND EFFECTS AND ANIMAL SOUNDS,1
1,24,Male,UnaccFit,vroom,vroom,1,SOUND EFFECTS AND ANIMAL SOUNDS,1
1,24,Male,UnaccFit,bear,bear,2,ANIMALS (Real or Toy),2
1,24,Male,UnaccFit,bee,bee,2,ANIMALS (Real or Toy),2
1,24,Male,UnaccFit,fish,fish.animal,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,pig,pig,2,ANIMALS (Real or Toy),2
1,24,Male,UnaccFit,bus,bus,7,VEHICLES (Real or Toy),3
1,24,Male,UnaccFit,ball,ball,6,TOYS,4
1,24,Male,UnaccFit,balloon,balloon,6,TOYS,4
1,24,Male,UnaccFit,apple,apple,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,banana,banana,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,cake,cake,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,cheese,cheese,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,egg,egg,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,food,food,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,grapes,grapes,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,pizza,pizza,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,water,water.beverage,13,FOOD AND DRINK,5
1,24,Male,UnaccFit,hat,hat,3,CLOTHING,6
1,24,Male,UnaccFit,bed,bed,11,FURNITURE AND ROOMS,9
1,24,Male,UnaccFit,tv,tv,11,FURNITURE AND ROOMS,9
1,24,Male,UnaccFit,moon,moon,10,OUTSIDE THINGS,10
1,24,Male,UnaccFit,star,star,10,OUTSIDE THINGS,10
1,24,Male,UnaccFit,sun,sun,10,OUTSIDE THINGS,10
1,24,Male,UnaccFit,baby,baby,9,PEOPLE,12
1,24,Male,UnaccFit,daddy,daddy,9,PEOPLE,12
1,24,Male,UnaccFit,mommy,mommy,9,PEOPLE,12
1,24,Male,UnaccFit,bye,bye,23,GAMES AND ROUTINES,13
1,24,Male,UnaccFit,hello,hello,23,GAMES AND ROUTINES,13
1,24,Male,UnaccFit,peekaboo,peekaboo,23,GAMES AND ROUTINES,13
1,24,Male,UnaccFit,eat,eat,15,ACTION WORDS,14
1,24,Male,UnaccFit,allgone,allgone,17,DESCRIPTIVE WORDS,15
1,24,Male,UnaccFit,happy,happy,17,DESCRIPTIVE WORDS,15
1,24,Male,UnaccFit,me,me,19,PRONOUNS,17
1,24,Male,UnaccFit,down,down,22,PREPOSITIONS AND LOCATIONS,18
1,24,Male,UnaccFit,up,up,22,PREPOSITIONS AND LOCATIONS,18
1,24,Male,UnaccFit,and,and,5,CONNECTING WORDS,22
